"","ECO_CLI","ID_SITE","DATE","effectif_jour_mean","peak_date"
"248","Atlantic","27PL1",2009-10-14,4,2009-06-25
"249","Atlantic","27PL1",2009-10-20,0,2009-06-25
"250","Atlantic","27PL1",2009-10-28,16,2009-06-25
"251","Atlantic","27PL1",2009-11-04,11,2009-06-25
"252","Atlantic","27PL1",2009-11-10,1,2009-06-25
"253","Atlantic","27PL1",2009-11-17,22,2009-06-25
"254","Atlantic","27PL1",2009-11-24,7,2009-06-25
"255","Atlantic","27PL1",2009-12-01,0,2009-06-25
"256","Atlantic","27PL1",2009-12-08,5,2009-06-25
"257","Atlantic","27PL1",2009-12-17,0,2009-06-25
"258","Atlantic","27PL2",2009-07-21,2544,2009-06-25
"259","Atlantic","27PL2",2009-08-18,631,2009-06-25
"260","Atlantic","27PL2",2009-09-17,2,2009-06-25
"261","Atlantic","27PL2",2009-10-06,2541,2009-06-25
"262","Atlantic","27PL2",2009-10-14,82,2009-06-25
"263","Atlantic","27PL2",2009-10-21,10,2009-06-25
"264","Atlantic","27PL2",2009-10-27,40,2009-06-25
"265","Atlantic","27PL2",2009-11-03,0,2009-06-25
"266","Atlantic","27PL2",2009-11-13,3,2009-06-25
"267","Atlantic","27PL2",2009-11-17,41,2009-06-25
"268","Atlantic","27PL2",2009-11-24,1,2009-06-25
"269","Atlantic","27PL2",2009-12-03,0,2009-06-25
"270","Atlantic","27PL2",2009-12-08,0,2009-06-25
"271","Atlantic","27PL2",2009-12-15,0,2009-06-25
"272","Atlantic","28PL1",2009-07-21,3379,2009-06-25
"273","Atlantic","28PL1",2009-08-18,129,2009-06-25
"274","Atlantic","28PL1",2009-09-15,52,2009-06-25
"275","Atlantic","28PL1",2009-10-06,16,2009-06-25
"276","Atlantic","28PL1",2009-10-14,5,2009-06-25
"277","Atlantic","28PL1",2009-10-20,0,2009-06-25
"278","Atlantic","28PL1",2009-10-27,3,2009-06-25
"279","Atlantic","28PL1",2009-11-03,0,2009-06-25
"280","Atlantic","28PL1",2009-11-10,2,2009-06-25
"281","Atlantic","28PL1",2009-11-17,4,2009-06-25
"282","Atlantic","28PL1",2009-11-24,0,2009-06-25
"283","Atlantic","28PL1",2009-12-01,0,2009-06-25
"284","Atlantic","28PL1",2009-12-08,0,2009-06-25
"285","Atlantic","28PL1",2009-12-15,0,2009-06-25
"286","Atlantic","28PL2",2009-07-21,570,2009-06-25
"287","Atlantic","28PL2",2009-08-18,136,2009-06-25
"288","Atlantic","28PL2",2009-09-15,56,2009-06-25
"289","Atlantic","28PL2",2009-10-06,290,2009-06-25
"290","Atlantic","28PL2",2009-10-13,13,2009-06-25
"291","Atlantic","28PL2",2009-10-20,0,2009-06-25
"292","Atlantic","28PL2",2009-10-27,45,2009-06-25
"293","Atlantic","28PL2",2009-11-03,1,2009-06-25
"294","Atlantic","28PL2",2009-11-10,1,2009-06-25
"295","Atlantic","28PL2",2009-11-17,9,2009-06-25
"296","Atlantic","28PL2",2009-11-24,5,2009-06-25
"297","Atlantic","28PL2",2009-12-01,0,2009-06-25
"298","Atlantic","28PL2",2009-12-08,0,2009-06-25
"299","Atlantic","28PL2",2009-12-15,0,2009-06-25
"300","Atlantic","29PL2",2009-07-21,0,2009-06-25
"301","Atlantic","29PL2",2009-08-18,34,2009-06-25
"302","Atlantic","29PL2",2009-09-16,220,2009-06-25
"303","Atlantic","29PL2",2009-10-06,46,2009-06-25
"304","Atlantic","29PL2",2009-10-13,79,2009-06-25
"305","Atlantic","29PL2",2009-10-20,18,2009-06-25
"306","Atlantic","29PL2",2009-10-27,253,2009-06-25
"307","Atlantic","29PL2",2009-11-03,156,2009-06-25
"308","Atlantic","29PL2",2009-11-17,170,2009-06-25
"309","Atlantic","29PL2",2009-11-24,480,2009-06-25
"310","Atlantic","29PL2",2009-12-01,158,2009-06-25
"311","Atlantic","29PL2",2009-12-08,50,2009-06-25
"312","Atlantic","29PL2",2009-12-16,0,2009-06-25
"313","Atlantic","29PL4",2009-07-21,469,2009-06-25
"314","Atlantic","29PL4",2009-08-18,1950,2009-06-25
"315","Atlantic","29PL4",2009-09-15,93,2009-06-25
"316","Atlantic","29PL4",2009-10-06,374,2009-06-25
"317","Atlantic","29PL4",2009-10-13,71,2009-06-25
"318","Atlantic","29PL4",2009-10-20,53,2009-06-25
"319","Atlantic","29PL4",2009-10-27,178,2009-06-25
"320","Atlantic","29PL4",2009-11-03,56,2009-06-25
"321","Atlantic","29PL4",2009-11-10,372,2009-06-25
"322","Atlantic","29PL4",2009-11-17,131,2009-06-25
"323","Atlantic","29PL4",2009-11-24,39,2009-06-25
"324","Atlantic","29PL4",2009-12-01,0,2009-06-25
"325","Atlantic","29PL4",2009-12-08,14,2009-06-25
"326","Atlantic","29PL4",2009-12-15,0,2009-06-25
"327","Atlantic","31PL1",2009-07-22,37,2009-06-25
"328","Atlantic","31PL1",2009-08-18,88,2009-06-25
"329","Atlantic","31PL1",2009-10-06,0,2009-06-25
"330","Atlantic","31PL1",2009-10-13,30,2009-06-25
"331","Atlantic","31PL1",2009-10-20,0,2009-06-25
"332","Atlantic","31PL1",2009-10-27,0,2009-06-25
"333","Atlantic","31PL1",2009-11-03,3,2009-06-25
"334","Atlantic","31PL1",2009-11-10,3,2009-06-25
"335","Atlantic","31PL1",2009-11-17,13,2009-06-25
"336","Atlantic","31PL1",2009-11-24,3,2009-06-25
"337","Atlantic","31PL1",2009-12-01,0,2009-06-25
"338","Atlantic","31PL1",2009-12-08,0,2009-06-25
"339","Atlantic","31PL1",2009-12-15,0,2009-06-25
"340","Atlantic","31PL2",2009-06-26,2983,2009-06-25
"341","Atlantic","31PL2",2009-07-22,1239,2009-06-25
"342","Atlantic","31PL2",2009-08-19,1176,2009-06-25
"343","Atlantic","31PL2",2009-10-07,350,2009-06-25
"344","Atlantic","31PL2",2009-10-15,0,2009-06-25
"345","Atlantic","31PL2",2009-10-21,393,2009-06-25
"346","Atlantic","31PL2",2009-10-28,81,2009-06-25
"347","Atlantic","31PL2",2009-11-04,84,2009-06-25
"348","Atlantic","31PL2",2009-11-10,0,2009-06-25
"349","Atlantic","31PL2",2009-11-17,29,2009-06-25
"350","Atlantic","31PL2",2009-11-24,1,2009-06-25
"351","Atlantic","31PL2",2009-12-03,1,2009-06-25
"352","Atlantic","31PL2",2009-12-08,14,2009-06-25
"353","Atlantic","31PL2",2009-12-17,0,2009-06-25
"354","Atlantic","32PL1",2009-07-21,590,2009-06-25
"355","Atlantic","32PL1",2009-08-19,108,2009-06-25
"356","Atlantic","32PL1",2009-09-18,61,2009-06-25
"357","Atlantic","32PL1",2009-10-06,175,2009-06-25
"358","Atlantic","32PL1",2009-10-13,77,2009-06-25
"359","Atlantic","32PL1",2009-10-20,0,2009-06-25
"360","Atlantic","32PL1",2009-10-27,19,2009-06-25
"361","Atlantic","32PL1",2009-11-04,32,2009-06-25
"362","Atlantic","32PL1",2009-11-10,0,2009-06-25
"363","Atlantic","32PL1",2009-11-17,8,2009-06-25
"364","Atlantic","32PL1",2009-12-01,0,2009-06-25
"365","Atlantic","32PL1",2009-12-08,50,2009-06-25
"366","Atlantic","32PL1",2009-12-15,0,2009-06-25
"367","Atlantic","32PL2",2009-07-21,280,2009-06-25
"368","Atlantic","32PL2",2009-08-19,360,2009-06-25
"369","Atlantic","32PL2",2009-09-18,140,2009-06-25
"370","Atlantic","32PL2",2009-10-06,101,2009-06-25
"371","Atlantic","32PL2",2009-10-13,23,2009-06-25
"372","Atlantic","32PL2",2009-10-20,0,2009-06-25
"373","Atlantic","32PL2",2009-10-27,10,2009-06-25
"374","Atlantic","32PL2",2009-11-04,38,2009-06-25
"375","Atlantic","32PL2",2009-11-10,0,2009-06-25
"376","Atlantic","32PL2",2009-11-17,0,2009-06-25
"377","Atlantic","32PL2",2009-12-01,0,2009-06-25
